isbn,call,barcode,url
9780203707951,340.590954,E02009,https://www.taylorfrancis.com/books/9781135029661
9780203804049,346.71048,E02010,https://www.taylorfrancis.com/books/9781136637872
9780367816605,370.71/1,E02011,https://www.taylorfrancis.com/books/9780367816605
9780367823290,346.04/8,E02012,https://www.taylorfrancis.com/books/9780367823290
9780429021084,346.048,E02013,https://www.taylorfrancis.com/books/9780429021084
9780429100475,514/.2,E02014,https://www.taylorfrancis.com/books/9781466562448
9780429259890,363.19/26,E02015,https://www.taylorfrancis.com/books/9780429259890
9780429316098,362.82/92,E02016,https://www.taylorfrancis.com/books/9780429316098
9780429323393,363.19/20973078,E02017,https://www.taylorfrancis.com/books/9780429323393
9780429330476,346.2404/88,E02018,https://www.taylorfrancis.com/books/9780429330476
9780429342073,346.0482,E02019,https://www.taylorfrancis.com/books/9780429342073
9780429344015,345/.0268,E02020,https://www.taylorfrancis.com/books/9780429344015
9780429351624,620.1/16,E02021,https://www.taylorfrancis.com/books/9780429351624
9780429355660,577.09,E02022,https://www.taylorfrancis.com/books/9780429355660
9780429399077,364.360941,E02023,https://www.taylorfrancis.com/books/9780429399077
9780429424809,907.2,E02024,https://www.taylorfrancis.com/books/9780429424809
9780429426216,342.4109,E02025,https://www.taylorfrancis.com/books/9780429426216
9780429469060,610,E02026,https://www.taylorfrancis.com/books/9780429469060
9781003006367,628.164,E02027,https://www.taylorfrancis.com/books/9781003006367
9781003023166,514/.34,E02028,https://www.taylorfrancis.com/books/9781003023166
9781003024149,1.42,E02029,https://www.taylorfrancis.com/books/9781003024149
9781003037880,620.1/92,E02030,https://www.taylorfrancis.com/books/9781003037880
9781003041856,340.071/41,E02031,https://www.taylorfrancis.com/books/9781003041856
9781003051251,519.6,E02032,https://www.taylorfrancis.com/books/9781003051251
9781003051701,370.15/23,E02033,https://www.taylorfrancis.com/books/9781003051701
9781003055075,343.07/25,E02034,https://www.taylorfrancis.com/books/9781003055075
9781003056416,344.046,E02035,https://www.taylorfrancis.com/books/9781003056416
9781003081661,362.1072,E02036,https://www.taylorfrancis.com/books/9781003081661
9781003082651,809.9353,E02037,https://www.taylorfrancis.com/books/9781003082651
9781003083009,346.048/2,E02038,https://www.taylorfrancis.com/books/9781003083009
9781003083665,305.8001,E02039,https://www.taylorfrancis.com/books/9781003083665
9781003091226,543/.65,E02040,https://www.taylorfrancis.com/books/9781003091226
9781003093367,362.709944,E02041,https://www.taylorfrancis.com/books/9781003093367
9781003105787,809/.89206927,E02042,https://www.taylorfrancis.com/books/9781003105787
9781003106524,612.015756,E02043,https://www.taylorfrancis.com/books/9781003106524
9781003110231,809.933552,E02044,https://www.taylorfrancis.com/books/9781003110231
9781003112457,306,E02045,https://www.taylorfrancis.com/books/9781003112457
9781003127550,303.48/4,E02046,https://www.taylorfrancis.com/books/9781003127550
9781003137481,616.2/4140072,E02047,https://www.taylorfrancis.com/books/9781003137481
9781003147718,306,E02048,https://www.taylorfrancis.com/books/9781003147718
9781003165446,346/.17240482,E02049,https://www.taylorfrancis.com/books/9781003165446
9781003168706,507.1,E02050,https://www.taylorfrancis.com/books/9781003168706
9781003169604,547/.7,E02051,https://www.taylorfrancis.com/books/e/9781003169604
9781003178972,515/.35015118,E02052,https://www.taylorfrancis.com/books/9781003178972
9781003184904,665.5,E02053,https://www.taylorfrancis.com/books/9781003184904
9781003185147,930.1,E02054,https://www.taylorfrancis.com/books/9781003185147
9781003187615,621.31/24,E02055,https://www.taylorfrancis.com/books/e/9781003187615
9781003187639,543/.5,E02056,https://www.taylorfrancis.com/books/9781003187639
9781003188612,303.48/3,E02057,https://www.taylorfrancis.com/books/9781003188612
9781003201694,519.4,E02058,https://www.taylorfrancis.com/books/9781003201694
9781003202073,631.8/6,E02059,https://www.taylorfrancis.com/books/9781003202073
9781003206385,628,E02060,https://www.taylorfrancis.com/books/9781003206385
9781003208198,621.042,E02061,https://www.taylorfrancis.com/books/9781003208198
9781003215509,612.8,E02062,https://www.taylorfrancis.com/books/9781003215509
9781003225218,410.1/88,E02063,https://www.taylorfrancis.com/books/9781003225218
9781003225287,613.285,E02064,https://www.taylorfrancis.com/books/9781003225287
9781003231899,801/.95,E02065,https://www.taylorfrancis.com/books/9781003231899
9781003245063,809/.93552,E02066,https://www.taylorfrancis.com/books/9781003245063
9781003247890,620.112,E02067,https://www.taylorfrancis.com/books/9781003247890
9781003252887,340.9,E02068,https://www.taylorfrancis.com/books/9781003252887
9781003256823,808.06/6378,E02069,https://www.taylorfrancis.com/books/9781003256823
9781003257516,302.23/10141,E02070,https://www.taylorfrancis.com/books/9781003257516
9781003258384,621.3815,E02071,https://www.taylorfrancis.com/books/9781003258384
9781003263746,344.9404/6342,E02072,https://www.taylorfrancis.com/books/9781003263746
9781003266822,820.9/9287,E02073,https://www.taylorfrancis.com/books/9781003266822
9781003269205,621.312424,E02074,https://www.taylorfrancis.com/books/9781003269205
9781003275749,370.15,E02075,https://www.taylorfrancis.com/books/9781003275749
9781003278702,372.7/0440951,E02076,https://www.taylorfrancis.com/books/9781003278702
9781003279273,820.995403,E02077,https://www.taylorfrancis.com/books/9781003279273
9781003280064,371.94,E02078,https://www.taylorfrancis.com/books/9781003280064
9781003280859,616.890072,E02079,https://www.taylorfrancis.com/books/9781003280859
9781003281788,344.01/25729,E02080,https://www.taylorfrancis.com/books/9781003281788
9781003283263,363.2082,E02081,https://www.taylorfrancis.com/books/9781003283263
9781003288121,363.6/9,E02082,https://www.taylorfrancis.com/books/9781003288121
9781003290889,372.35,E02083,https://www.taylorfrancis.com/books/9781003290889
